,police_department,driver_race,num_stops,num_searches,num_hits,search_rate,hit_rate
214,Culberson County,Black,7118,131,42,0.018404046080359653,0.32061068702290074
215,Culberson County,Hispanic,41609,816,95,0.019611141820279267,0.11642156862745098
217,Culberson County,White,45662,479,108,0.010490123078270772,0.2254697286012526
222,Dallas County,Asian,7265,60,13,0.008258774948382657,0.21666666666666667
223,Dallas County,Black,38064,903,316,0.023723203026481714,0.34994462901439644
224,Dallas County,Hispanic,24430,483,162,0.01977077363896848,0.33540372670807456
226,Dallas County,White,92242,961,354,0.01041824765291299,0.368366285119667
240,Denton County,Asian,8088,85,31,0.010509396636993075,0.36470588235294116
241,Denton County,Black,29960,1309,485,0.04369158878504673,0.3705118411000764
242,Denton County,Hispanic,36680,1271,371,0.03465103598691385,0.29189614476789927
244,Denton County,White,163998,3688,1330,0.022488079122916133,0.3606290672451193
260,Eastland County,Asian,1585,11,2,0.00694006309148265,0.18181818181818182
261,Eastland County,Black,10217,522,211,0.0510913183909171,0.4042145593869732
262,Eastland County,Hispanic,19063,636,239,0.033363059329591355,0.3757861635220126
264,Eastland County,White,79557,1398,654,0.017572306648063654,0.4678111587982833
265,Ector County,Asian,497,11,5,0.022132796780684104,0.45454545454545453
266,Ector County,Black,4625,261,74,0.056432432432432435,0.2835249042145594
267,Ector County,Hispanic,64500,2715,888,0.042093023255813954,0.3270718232044199
269,Ector County,White,64409,2307,736,0.03581797574873077,0.3190290420459471
273,El Paso County,Asian,2140,22,7,0.010280373831775701,0.3181818181818182
274,El Paso County,Black,12022,383,145,0.031858259856928965,0.3785900783289817
275,El Paso County,Hispanic,213302,4728,1337,0.022165755595353068,0.2827834179357022
277,El Paso County,White,85658,1981,505,0.023126853300333886,0.25492175668854117
278,Ellis County,Asian,3002,28,9,0.009327115256495669,0.32142857142857145
279,Ellis County,Black,23114,833,320,0.03603876438522108,0.38415366146458585
280,Ellis County,Hispanic,27472,1258,358,0.04579207920792079,0.2845786963434022
282,Ellis County,White,98924,2155,851,0.021784400145566294,0.3948955916473318
283,Erath County,Asian,553,6,2,0.0108499095840868,0.3333333333333333
284,Erath County,Black,2516,91,30,0.03616852146263911,0.32967032967032966
285,Erath County,Hispanic,14294,396,130,0.027703931719602632,0.3282828282828283
286,Erath County,White,81343,1525,531,0.018747771781222722,0.3481967213114754
295,Fayette County,Asian,5149,22,11,0.004272674305690425,0.5
296,Fayette County,Black,10537,220,100,0.020878808009869982,0.45454545454545453
297,Fayette County,Hispanic,20312,386,134,0.019003544702638833,0.3471502590673575
299,Fayette County,White,59817,421,172,0.0070381329722319745,0.4085510688836104
309,Fort Bend County,Asian,24211,131,30,0.0054107637024493,0.22900763358778625
310,Fort Bend County,Black,62665,1103,325,0.017601531955637118,0.29465095194922936
311,Fort Bend County,Hispanic,78575,1834,399,0.02334075723830735,0.21755725190839695
313,Fort Bend County,White,124928,1977,520,0.015825115266393443,0.26302478502781995
319,Freestone County,Asian,3562,24,8,0.00673778775968557,0.3333333333333333
320,Freestone County,Black,18073,384,131,0.02124716427820506,0.3411458333333333
321,Freestone County,Hispanic,15249,478,113,0.031346317791330576,0.23640167364016737
322,Freestone County,White,53781,597,205,0.011100574552351201,0.34338358458961477
323,Frio County,Black,3707,105,18,0.0283247909360669,0.17142857142857143
324,Frio County,Hispanic,85192,3572,432,0.04192881960747488,0.12094064949608063
325,Frio County,White,37517,818,137,0.021803449103073275,0.16748166259168704
331,Galveston County,Asian,4521,18,6,0.003981420039814201,0.3333333333333333
332,Galveston County,Black,33050,911,293,0.027564296520423602,0.3216245883644347
333,Galveston County,Hispanic,38046,869,321,0.022840771697418914,0.3693901035673188
335,Galveston County,White,100191,1487,512,0.01484165244383228,0.34431741761936785
351,Gonzales County,Asian,4034,23,10,0.005701536936043629,0.43478260869565216
352,Gonzales County,Black,14604,318,84,0.021774856203779787,0.2641509433962264
353,Gonzales County,Hispanic,42595,1813,204,0.042563681183237466,0.11252068394925538
355,Gonzales County,White,72618,1098,310,0.015120218127736925,0.28233151183970856
361,Grayson County,Asian,1565,18,1,0.011501597444089457,0.05555555555555555
362,Grayson County,Black,10144,286,65,0.028194006309148267,0.22727272727272727
363,Grayson County,Hispanic,11580,322,52,0.02780656303972366,0.16149068322981366
365,Grayson County,White,119551,1468,336,0.012279278299637812,0.22888283378746593
366,Gregg County,Asian,1638,37,4,0.022588522588522588,0.10810810810810811
367,Gregg County,Black,44777,2602,968,0.05811019049958684,0.372021521906226
368,Gregg County,Hispanic,18801,985,272,0.052390830274985374,0.27614213197969545
369,Gregg County,White,109739,2938,1110,0.026772615022918014,0.3778080326752893
374,Guadalupe County,Asian,3836,47,17,0.012252346193952034,0.3617021276595745
375,Guadalupe County,Black,17318,540,189,0.03118142972629634,0.35
376,Guadalupe County,Hispanic,52343,1469,326,0.028064879735590242,0.22191967324710687
378,Guadalupe County,White,103696,1981,640,0.019103919148279587,0.32306915699141847
379,Hale County,Asian,779,7,3,0.008985879332477536,0.42857142857142855
380,Hale County,Black,5221,299,95,0.05726872246696035,0.3177257525083612
381,Hale County,Hispanic,30780,1019,269,0.03310591293047433,0.26398429833169773
382,Hale County,White,58763,1102,349,0.0187532971427599,0.31669691470054445
400,Harris County,Asian,25384,125,38,0.004924361802710369,0.304
401,Harris County,Black,153225,3429,1196,0.02237885462555066,0.34878973461650625
402,Harris County,Hispanic,159053,2381,722,0.014969852816356813,0.30323393532129356
404,Harris County,White,260099,3718,1263,0.014294557072499317,0.33969876277568584
405,Harrison County,Asian,1800,36,4,0.02,0.1111111111111111
406,Harrison County,Black,52040,1842,426,0.03539584934665642,0.23127035830618892
407,Harrison County,Hispanic,17010,765,99,0.04497354497354497,0.12941176470588237
409,Harrison County,White,141682,2414,580,0.017038155870188167,0.24026512013256007
419,Hays County,Asian,2576,21,6,0.008152173913043478,0.2857142857142857
420,Hays County,Black,9680,222,84,0.022933884297520662,0.3783783783783784
421,Hays County,Hispanic,47254,1234,381,0.026114191391204977,0.3087520259319287
423,Hays County,White,103106,1985,669,0.019252031889511766,0.3370277078085642
428,Henderson County,Asian,670,10,4,0.014925373134328358,0.4
429,Henderson County,Black,10987,389,116,0.035405479202694094,0.2982005141388175
430,Henderson County,Hispanic,11003,376,126,0.034172498409524674,0.3351063829787234
432,Henderson County,White,89224,2296,744,0.025732986640365822,0.3240418118466899
433,Hidalgo County,Asian,1952,16,1,0.00819672131147541,0.0625
434,Hidalgo County,Black,4589,143,8,0.031161473087818695,0.055944055944055944
435,Hidalgo County,Hispanic,694469,11953,1065,0.017211711393885113,0.08909897096963106
437,Hidalgo County,White,108495,2280,243,0.021014793308447393,0.10657894736842105
438,Hill County,Asian,2327,34,5,0.01461108723678556,0.14705882352941177
439,Hill County,Black,13919,594,215,0.04267547956031324,0.36195286195286197
440,Hill County,Hispanic,22397,1172,233,0.05232843684422021,0.19880546075085323
442,Hill County,White,76727,1610,511,0.02098348690812882,0.3173913043478261
448,Hood County,Asian,703,5,2,0.007112375533428165,0.4
449,Hood County,Black,2341,93,30,0.03972661255873558,0.3225806451612903
450,Hood County,Hispanic,12115,315,93,0.0260008254230293,0.29523809523809524
452,Hood County,White,110222,3234,1117,0.029340784961260004,0.3453927025355597
453,Hopkins County,Asian,1739,36,5,0.020701552616446232,0.1388888888888889
454,Hopkins County,Black,18564,1233,385,0.06641887524240465,0.3122465531224655
455,Hopkins County,Hispanic,16153,1219,160,0.07546585773540519,0.13125512715340443
457,Hopkins County,White,87558,2030,652,0.023184631901139816,0.3211822660098522
467,Hudspeth County,Asian,2093,33,4,0.015766841853798376,0.12121212121212122
468,Hudspeth County,Black,9012,248,74,0.027518863737239236,0.29838709677419356
469,Hudspeth County,Hispanic,48598,1144,159,0.023540063377093707,0.13898601398601398
471,Hudspeth County,White,52113,788,205,0.015120987085755953,0.26015228426395937
472,Hunt County,Asian,2697,25,3,0.009269558769002595,0.12
473,Hunt County,Black,29033,1098,347,0.03781903351358799,0.31602914389799636
474,Hunt County,Hispanic,22577,734,112,0.032510962483943834,0.15258855585831063
476,Hunt County,White,156946,2102,638,0.013393141590101054,0.30352045670789723
494,Jasper County,Black,21615,167,48,0.0077261161230626875,0.2874251497005988
495,Jasper County,Hispanic,6880,52,11,0.007558139534883721,0.21153846153846154
496,Jasper County,White,119633,720,192,0.006018406292578135,0.26666666666666666
500,Jefferson County,Asian,4661,52,17,0.011156404205106201,0.3269230769230769
501,Jefferson County,Black,43580,1146,351,0.0262964662689307,0.306282722513089
502,Jefferson County,Hispanic,21744,436,75,0.02005150846210449,0.1720183486238532
504,Jefferson County,White,105782,1839,568,0.01738481027017829,0.30886351277868407
509,Jim Wells County,Black,1727,27,2,0.01563404748118124,0.07407407407407407
510,Jim Wells County,Hispanic,78101,1260,200,0.016132956044096747,0.15873015873015872
511,Jim Wells County,White,35465,587,108,0.016551529677146484,0.1839863713798978
512,Johnson County,Asian,1225,9,2,0.007346938775510204,0.2222222222222222
513,Johnson County,Black,8682,186,66,0.021423635107118175,0.3548387096774194
514,Johnson County,Hispanic,22395,471,149,0.02103148024112525,0.31634819532908703
516,Johnson County,White,124401,2381,983,0.019139717526386445,0.4128517429651407
525,Kaufman County,Asian,1847,33,6,0.017866811044937737,0.18181818181818182
526,Kaufman County,Black,46692,2742,963,0.058725263428424566,0.35120350109409193
527,Kaufman County,Hispanic,22929,953,259,0.04156308604823586,0.27177334732423925
529,Kaufman County,White,118139,3662,1296,0.03099738443697678,0.3539049699617695
556,Kleberg County,Black,2665,77,6,0.028893058161350845,0.07792207792207792
557,Kleberg County,Hispanic,65131,1623,169,0.02491900938109349,0.10412815773259396
558,Kleberg County,White,27969,376,47,0.01344345525403125,0.125
562,La Salle County,Asian,502,4,1,0.00796812749003984,0.25
563,La Salle County,Black,2157,31,2,0.014371812702828002,0.06451612903225806
564,La Salle County,Hispanic,66971,1227,84,0.018321362978005407,0.06845965770171149
565,La Salle County,White,26105,410,35,0.015705803485922237,0.08536585365853659
588,Leon County,Asian,3586,19,3,0.005298382598996096,0.15789473684210525
589,Leon County,Black,20496,407,162,0.01985753317720531,0.39803439803439805
590,Leon County,Hispanic,15969,435,110,0.02724027803869998,0.25287356321839083
591,Leon County,White,47488,611,214,0.012866408355795148,0.3502454991816694
592,Liberty County,Asian,879,15,5,0.017064846416382253,0.3333333333333333
593,Liberty County,Black,21401,864,399,0.04037194523620392,0.4618055555555556
594,Liberty County,Hispanic,14037,355,89,0.025290304196053288,0.2507042253521127
596,Liberty County,White,88462,1872,718,0.021161628721937102,0.38354700854700857
603,Live Oak County,Black,3952,42,11,0.01062753036437247,0.2619047619047619
604,Live Oak County,Hispanic,51019,679,98,0.013308767321978087,0.14432989690721648
605,Live Oak County,White,51402,558,90,0.010855608731177776,0.16129032258064516
613,Lubbock County,Asian,975,17,3,0.017435897435897435,0.17647058823529413
614,Lubbock County,Black,10995,700,220,0.06366530241018645,0.3142857142857143
615,Lubbock County,Hispanic,45455,2450,693,0.05389946100538995,0.28285714285714286
617,Lubbock County,White,100291,2796,844,0.027878872481080057,0.30185979971387694
640,Maverick County,Black,1382,37,2,0.026772793053545588,0.05405405405405406
641,Maverick County,Hispanic,99107,2203,204,0.022228500509550286,0.0926009986382206
643,Maverick County,White,23568,493,31,0.02091819416157502,0.06288032454361055
648,McLennan County,Asian,3183,26,11,0.008168394596292806,0.4230769230769231
649,McLennan County,Black,28605,1276,550,0.04460758608634854,0.43103448275862066
650,McLennan County,Hispanic,38006,1775,449,0.0467031521338736,0.25295774647887326
652,McLennan County,White,131080,3181,1083,0.024267622825755265,0.3404589751650424
655,Medina County,Black,3692,84,10,0.02275189599133261,0.11904761904761904
656,Medina County,Hispanic,77007,1941,321,0.025205500798628697,0.16537867078825347
657,Medina County,White,82250,1683,407,0.020462006079027355,0.24183006535947713
661,Midland County,Asian,706,16,6,0.0226628895184136,0.375
662,Midland County,Black,7081,405,128,0.057195311396695384,0.3160493827160494
663,Midland County,Hispanic,43723,1916,626,0.04382132973492212,0.3267223382045929
665,Midland County,White,71482,1742,618,0.024369771410984585,0.3547646383467279
679,Montague County,Asian,1059,14,12,0.013220018885741265,0.8571428571428571
680,Montague County,Black,6021,233,111,0.03869789071582794,0.47639484978540775
681,Montague County,Hispanic,8776,229,96,0.026093892433910665,0.4192139737991266
