,police_department,driver_race,num_stops,num_searches,num_hits,search_rate,hit_rate
988,Williamson County,Black,32293,734,313,0.02272938407704456,0.4264305177111717
989,Williamson County,Hispanic,66346,1754,509,0.026437162752841165,0.290193842645382
991,Williamson County,White,220337,3871,1435,0.017568542732269207,0.3707052441229656
999,Wise County,Asian,2713,31,3,0.01142646516771102,0.0967741935483871
1000,Wise County,Black,14186,495,170,0.03489355702805583,0.3434343434343434
1001,Wise County,Hispanic,30967,923,263,0.029805922433558302,0.28494041170097506
1003,Wise County,White,218768,4081,1415,0.018654465004022527,0.34672874295515804
1004,Wood County,Black,5877,126,40,0.021439509954058193,0.31746031746031744
1005,Wood County,Hispanic,5973,146,10,0.024443328310731625,0.0684931506849315
1006,Wood County,White,86932,1092,274,0.012561542354944093,0.2509157509157509
