County,Asian_Thresh,Black_Thresh,Hispanic_Thresh,White_Thresh,Asian_Stop_N,Black_Stop_N,Hispanic_Stop_N,White_Stop_N,Asian_Search_N,Black_Search_N,Hispanic_Search_N,White_Search_N,Asian_Hit_N,Black_Hit_N,Hispanic_Hit_N,White_Hit_N
Jefferson County,0.172723534,0.225747229,0.157870412,0.192967179,4661,43580,21744,105782,52,1146,436,1839,17,351,75,568
Jim Wells County,,0.179244658,0.116917241,0.130045337,,1727,78101,35465,,27,1260,587,,2,200,108
Johnson County,0.262658504,0.320663986,0.211112012,0.254658702,1225,8682,22395,124401,9,186,471,2381,2,66,149,983
Kaufman County,0.21210508,0.210609966,0.144533938,0.207280638,1847,46692,22929,118139,33,2742,953,3662,6,963,259,1296
Kleberg County,,0.124042664,0.078377102,0.108598673,,2665,65131,27969,,77,1623,376,,6,169,47
La Salle County,0.074551878,0.116352035,0.067656344,0.080610636,502,2157,66971,26105,4,31,1227,410,1,2,84,35
Leon County,0.229931228,0.277447635,0.151938599,0.242254562,3586,20496,15969,47488,19,407,435,611,3,162,110,214
Liberty County,0.223650379,0.263891625,0.196892609,0.252802903,879,21401,14037,88462,15,864,355,1872,5,399,89,718
Live Oak County,,0.182695499,0.11258894,0.133635372,,3952,51019,51402,,42,679,558,,11,98,90
Lubbock County,0.209835245,0.206338638,0.128996791,0.213456303,975,10995,45455,100291,17,700,2450,2796,3,220,693,844
Maverick County,,0.110401851,0.069911841,0.081292384,,1382,99107,23568,,37,2203,493,,2,204,31
McLennan County,0.266980725,0.246974658,0.135456384,0.22977705,3183,28605,38006,131080,26,1276,1775,3181,11,550,449,1083
Medina County,,0.195370505,0.118694534,0.148040358,,3692,77007,82250,,84,1941,1683,,10,321,407
Midland County,0.215494598,0.222774634,0.151083687,0.243193434,706,7081,43723,71482,16,405,1916,1742,6,128,626,618
Montague County,0.283797947,0.289649894,0.219819608,0.359167675,1059,6021,8776,73709,14,233,229,950,12,111,96,484
Montgomery County,0.262498279,0.242042543,0.168219335,0.209061092,8171,56697,103406,358179,104,2880,3849,12250,34,1092,1327,4507
Nacogdoches County,0.141323501,0.198356177,0.120520909,0.184259643,1017,26138,17333,93940,6,425,319,693,2,115,43,169
Navarro County,0.187507638,0.207676647,0.111019613,0.194769985,4095,23988,17767,66737,96,1559,1155,2328,21,575,271,698
Nolan County,0.252397625,0.216398604,0.136285222,0.244347831,1539,9480,23002,71483,24,646,1210,2086,4,247,363,846
Nueces County,0.19140813,0.235300081,0.171505944,0.213729397,1600,5536,86476,66651,5,94,1110,626,1,35,238,220
Orange County,0.140513557,0.159267802,0.098115395,0.146540638,2131,19433,10391,105666,23,774,378,2203,1,138,52,520
Palo Pinto County,0.210870902,0.195472856,0.117274096,0.198264533,1007,7196,15726,81728,16,436,795,2424,3,142,173,820
Parker County,0.207244937,0.249192382,0.173393468,0.238469309,2124,11017,30028,243766,29,381,820,4418,11,144,271,1558
Pecos County,0.162520769,0.196589998,0.169899104,0.211911485,2331,8657,54245,78594,29,329,914,1026,5,117,185,339
Polk County,,0.21082328,0.126423848,0.183806969,,15688,9684,62308,,393,254,944,,115,34,262
Potter County,0.178169102,0.216848026,0.164875419,0.249113371,2461,7091,21940,74416,49,348,641,1150,16,149,183,381
Randall County,0.221190136,0.257782929,0.182463107,0.244042859,1024,4335,25632,112835,4,89,450,1254,1,27,136,434
Refugio County,0.141608631,0.159183018,0.092273518,0.141189623,1252,5319,38454,39186,7,166,1281,629,3,40,159,130
Rusk County,0.221463942,0.241360184,0.133628018,0.213837574,897,25783,14536,91574,13,1114,650,2514,1,414,171,896
